INSPECCION,MATRICULA,F.MATRIC.,MARCA Y MODELO,BASTIDOR,GRUP,TIP,F,F.INSPEC.,L,I.1,M.1,I.2,M.2,I.3,M.3,I.4,M.4,RESUL.,F.VALIDEZ,DEFEC.
170823162/2017,M-5278-XF,15/03/1999,VOLKSWAGEN PASSAT 1.9 TD,WVWZZZ3BZXP400946,1000,002,2,13/01/2017,2,REB,999,,,,,,,DF.LEV,13/01/2018,['0901-L']
170823163/2017,2124-GWW,02/06/2010,SSANGYONG RODIUS,KPTN0B1FSAP058886,3100,002,2,13/01/2017,2,MBM,999,,,,,,,FAVOR.,13/01/2018,['']
170823164/2017,2442-JCC,15/01/2015,OPEL COMBO VAN,W0L6WYC1AF9560977,2400,001,1,13/01/2017,1,MBM,14,JHD,12,REB,17,ELL,22,FAVOR.,13/01/2019,['']
170823165/2017,5393-FDM,31/07/2006,FORD FIESTA,WF0HXXWPJH6J73607,1000,001,1,13/01/2017,1,MBM,14,JHD,12,REB,17,ELL,22,DF.LEV,13/01/2018,"['0202-L', '0901-L']"
170823166/2017,TO-9417-T,04/11/1992,NISSAN SERENA,VSKEDVC23U0151002,3100,001,1,13/01/2017,1,MBM,14,JHD,12,REB,17,ELL,22,DF.LEV,13/07/2017,['0901-L']
170823167/2017,0314-CJC,30/05/2003,PEUGEOT 307 5P,VF33CRHYB82997478,1000,001,1,13/01/2017,1,MBM,14,JHD,12,REB,17,ELL,22,DESFA.,00/00/0000,"['0503-G', '0901-L']"
170823168/2017,1831-HBC,27/12/2010,FORD FOCUS,WF0PXXWPDPAJ05933,1000,001,1,13/01/2017,1,MBM,14,JHD,12,REB,17,JHD,22,DF.LEV,13/01/2019,"['0103-L', '0901-L']"
170823169/2017,0735-BPC,29/10/2001,CITROEN XSARA PICASSO,VF7CHRHYB39041554,1000,002,2,13/01/2017,2,MBM,999,,,,,,,DF.LEV,13/01/2018,['0901-L']
170823170/2017,7576-FMC,09/03/2007,OPEL VECTRA,W0L0ZCF6871070221,1000,001,1,13/01/2017,1,MBM,14,JHD,12,REB,17,REB,22,DESFA.,00/00/0000,['1006-G']
170823171/2017,058309,27/11/2013,MERCEDES BENZ 220,WDD1173031N058309,1000,014,1,13/01/2017,1,MBM,14,MBM,12,MBM,17,MBM,22,DESFA.,00/00/0000,"['0701-G', '0803-G', '0803-G']"
170823172/2017,7559-FKH,10/01/2007,RENAULT MEGANE,VF1CMK40637058894,1000,001,1,13/01/2017,1,MBM,14,JHD,12,REB,17,ELL,22,DF.LEV,13/01/2018,['0202-L']
170823173/2017,1745-DTX,29/12/2005,PEUGEOT 807,VF3EB4HWG13253587,1002,001,1,13/01/2017,1,MBM,14,JHD,12,REB,17,ELL,22,DF.LEV,13/01/2018,['0406-L']
170823174/2017,4473-BRF,11/12/2001,RENAULT CLIO,VF1CB0FCF25675997,1000,002,2,13/01/2017,2,MBM,999,,,,,,,DF.LEV,13/01/2018,"['0202-L', '0901-L']"
170823175/2017,9025-FWT,25/10/2007,LAND ROVER DISCOVERY 3,SALLAAA148A461660,2400,001,1,13/01/2017,1,MBM,14,JHD,12,REB,17,ELL,22,DESFA.,00/00/0000,"['0803-G', '0804-G']"
170823176/2017,6772-DFV,27/01/2005,OPEL ASTRA,W0L0AHL4858049586,1000,001,1,13/01/2017,1,MBM,14,JHD,12,REB,17,ELL,22,DF.LEV,13/01/2018,"['0103-L', '0405-L', '0901-L']"
170823177/2017,7904-FSH,29/06/2007,SAAB 9-5,YS3EH55G863527320,1000,002,2,13/01/2017,1,ASC,999,,,,,,,FAVOR.,29/06/2018,['']
170823178/2017,CU-5877-I,19/11/1996,CITROEN C 15D,VS7VDPB0044PB0726,2420,001,1,13/01/2017,1,ASC,14,JHD,12,REB,17,ELL,22,DF.LEV,13/07/2017,"['0103-L', '0901-L']"
170823179/2017,9682-DLY,23/06/2005,MERCEDES-BENZ 111CDI,WDF63970113117217,3100,001,1,13/01/2017,1,ASC,14,JHD,12,REB,17,ELL,22,FAVOR.,13/07/2017,['']
170823180/2017,M-1096-HL,02/01/1987,CITROEN DYANE 6 400/S,VS7AYCD0001CD8049,3100,001,1,13/01/2017,1,ASC,14,JHD,12,REB,17,ELL,22,DF.LEV,13/07/2017,['0901-L']
170823181/2017,TO-5150-AG,08/08/2000,NISSAN ALMERA 5P 2.2D,SJNFDAN16U0083473,1000,001,1,13/01/2017,1,ASC,14,JHD,12,REB,17,ELL,22,DF.LEV,13/01/2018,['0103-L']
170823182/2017,TO-2154-P,15/01/1991,RENAULT 5,VS5C40105M0200094,1000,001,1,13/01/2017,1,ASC,14,JHD,12,REB,17,ELL,22,DESFA.,00/00/0000,"['0502-G', '0901-L', '0904-L']"
170823183/2017,8580-BSC,22/01/2002,SEAT LEON 1.9 TDI 5V,VSSZZZ1MZ2R035910,1000,001,1,13/01/2017,1,ASC,14,JHD,12,REB,17,JHD,22,DESFA.,00/00/0000,['0503-G']
170823184/2017,4612-HPX,29/04/2013,PEUGEOT 208 5P,VF3CC8HR0DW035640,1000,001,1,13/01/2017,1,ASC,14,JHD,12,REB,17,ELL,22,FAVOR.,13/01/2019,['']
170823185/2017,7543-HKN,14/05/2012,VOLKSWAGEN TOUAREG,WVGZZZ7PZCD031311,1033,001,1,13/01/2017,1,ASC,14,JHD,12,REB,17,ELL,22,FAVOR.,13/01/2019,['']
170823186/2017,0314-CJC,30/05/2003,PEUGEOT 307 5P,VF33CRHYB82997478,1000,002,2,13/01/2017,2,ASC,999,ASC,14,,,,,DESFA.,00/00/0000,"['0503-G', '0901-L']"
170823187/2017,3417-GFL,16/06/2008,BMW 5ER REIHE,WBANR71060CX96929,1000,001,1,13/01/2017,1,ASC,14,JHD,12,REB,17,ELL,22,FAVOR.,13/01/2018,['']
170823188/2017,4158-BRJ,14/12/2001,VOLKSWAGEN GOLF,WVWZZZ1JZ2P276294,1000,001,1,13/01/2017,1,MBM,14,JHD,12,REB,17,ELL,22,FAVOR.,13/01/2018,['']
170823189/2017,0662-DTG,07/12/2005,FORD FIESTA,WF0HXXGAJH5M77462,1000,001,1,13/01/2017,1,MBM,14,JHD,12,REB,17,ELL,22,DF.LEV,13/01/2018,['0901-L']
170823190/2017,M-6830-UF,17/01/1997,CITROEN SAXO,VF7S0HDZF56168291,1000,001,1,13/01/2017,1,ASC,14,JHD,12,REB,17,ELL,22,DESFA.,00/00/0000,"['0103-L', '0501-G', '0502-G', '0804-G', '0804-G', '0804-G', '0903-G', '0904-L']"
170823191/2017,9577-DHZ,01/04/2005,SEAT IBIZA,VSSZZZ6LZ5R162303,1000,001,1,13/01/2017,1,ASC,14,JHD,12,REB,17,ELL,22,DF.LEV,13/01/2018,['0103-L']
170823192/2017,4006-BDY,19/01/2001,CITROEN C 15D,VF7VDVV0000VV1765,2420,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,DF.LEV,14/07/2017,"['0405-L', '0901-L']"
170823193/2017,5531-FKX,31/01/2007,PEUGEOT 407,VF36DRHRH21579876,1000,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,FAVOR.,31/01/2018,['']
170823194/2017,1937-DVB,30/12/2005,SEAT CORDOBA 1.9 TDI 4P,VSSZZZ6LZ6R040569,1000,002,2,14/01/2017,2,MCG,999,,,,,,,FAVOR.,14/01/2018,['']
170823195/2017,1533-DFN,17/01/2005,PEUGEOT 407 2.0 HDI,VF36DRHRH21144952,1000,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,DF.LEV,14/01/2018,['0901-L']
170823196/2017,2647-GZM,15/11/2010,CITROEN XSARA PICASSO,VF7CH9HXCAJ813121,1000,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,DF.LEV,14/01/2019,"['0103-L', '0406-L']"
170823197/2017,1389-CBS,06/11/2002,FORD MONDEO,WF04XXGBB42T67689,1000,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,FAVOR.,14/01/2018,['']
170823198/2017,TO-9963-AB,05/11/1998,CITROEN BERLINGO,VF7MFWJZF65241029,3100,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,DF.LEV,14/07/2017,['0901-L']
170823199/2017,7936-BNJ,28/09/2001,SKODA FABIA 1.9 TDI 5V,TMBNS46Y823369579,1000,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,REB,22,DF.LEV,14/01/2018,['0405-L']
170823200/2017,M-9029-VJ,29/12/1997,RENAULT CLIO,VF1357N0517332121,1000,002,2,14/01/2017,1,MCG,999,VPS,999,REB,999,,,DF.LEV,14/01/2018,"['0901-L', '0904-L', '0904-L']"
170823201/2017,8077-BJD,04/05/2001,RENAULT MEGANE,VF1BA0D0524698271,1000,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,FAVOR.,14/01/2018,['']
170823202/2017,8099-FHJ,09/11/2006,KIA CARNIVAL,KNEMB754376121612,3100,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,DF.LEV,14/07/2017,"['0405-L', '0406-L', '0901-L']"
170823203/2017,4016-HBF,30/12/2010,HYUNDAI I30,TMADB51SABJ162494,1000,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,DESFA.,00/00/0000,['0405-G']
170823204/2017,9207-DVM,20/01/2006,NISSAN PRIMERA 5P 1.9D,SJNFFAP12U2268909,1000,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,DF.LEV,14/01/2018,"['0406-L', '0901-L']"
170823205/2017,6704-CRH,14/01/2004,DAEWOO KALOS,KLASF69A14B102504,1000,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,DF.LEV,14/01/2018,['0901-L']
170823206/2017,1207-GYY,05/10/2010,VOLKSWAGEN TIGUAN,WVGZZZ5NZBW035464,1000,002,2,14/01/2017,1,MCG,999,,,,,,,FAVOR.,14/01/2019,['']
170823207/2017,0998-GKL,14/01/2009,NISSAN TIIDA,3N1FDAC11UK404866,1000,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,DF.LEV,14/01/2019,['0103-L']
170823208/2017,8102-CTB,12/03/2004,PEUGEOT 406,VF38BRHZF81664227,1000,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,FAVOR.,14/01/2018,['']
170823209/2017,P-8570-I,17/10/1996,PEUGEOT 306 XS,VF37CNFZ231113990,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DESFA.,00/00/0000,"['0603-G', '0603-G', '0701-G', '0803-G', '0901-L']"
170823210/2017,TO-7525-AB,04/09/1998,BMW SERIE 3,WBAAL71020KE17689,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,"['0407-L', '0901-L']"
170823211/2017,2384-BCZ,01/12/2000,CITROEN BERLINGO 1.9D,VF7MBWJZF65490049,2420,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DESFA.,00/00/0000,"['0804-L', '0902-G', '0904-L']"
170823212/2017,4429-DLM,10/06/2005,CITROEN C4,VF7LANFUC74243429,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DESFA.,00/00/0000,"['0405-L', '0803-G', '0803-G']"
170823213/2017,8459-BCC,31/10/2000,BMW SERIE 3 330D M,WBAAL91040FS08648,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,"['0103-L', '0901-L']"
170823214/2017,6521-FBJ,07/06/2006,FORD TRANSIT CONNECT,WF0GXXTTPG6T56926,3100,002,2,14/01/2017,1,MCG,999,,,,,,,FAVOR.,14/07/2017,['']
170823215/2017,6726-DVG,10/01/2006,NISSAN ALMERA,SJNEDAN16U0459022,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,"['0103-L', '0202-L', '0401-L', '0804-L']"
170823216/2017,0805-BVX,03/05/2002,SEAT IBIZA,VSSZZZ6LZ2R045966,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,"['0202-L', '0205-L', '0406-L', '0901-L']"
170823217/2017,8471-DFJ,10/01/2005,SKODA OCTAVIA 2.0 TDI 6V,TMBBE61Z358026224,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,['0103-L']
170823218/2017,0656-GKJ,05/01/2009,VOLKSWAGEN PASSAT,WVWZZZ3CZ8E189060,1002,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,FAVOR.,14/01/2019,['']
170823219/2017,TO-4164-Y,15/01/1997,CITROEN XANTIA,VF7X18E00018E5174,1000,002,2,14/01/2017,1,MCG,999,,,,,,,DF.LEV,14/01/2018,"['0103-L', '0901-L']"
170823220/2017,TO-2799-AC,30/12/1998,CITROEN BERLINGO 1.9D,VF7MFWJZF65256409,3100,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DESFA.,00/00/0000,"['0804-G', '0901-L']"
170823221/2017,TO-6879-AF,22/03/2000,RENAULT MEGANE CLASSIC,VF1LA0NM522147578,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DESFA.,00/00/0000,"['0601-L', '0803-G', '0901-L']"
170823222/2017,3757-BLF,05/07/2001,CITROEN XSARA 20HDI110EX,VF7N1RHZB73221759,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DESFA.,00/00/0000,"['0103-L', '0401-G', '0901-L']"
170823223/2017,6660-CCD,27/11/2002,PEUGEOT 307 5P,VF33CRHYB82534313,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,"['0103-L', '0202-L', '0401-L', '0406-L']"
170823224/2017,0083-DFZ,31/01/2005,TOYOTA COROLLA,JTDKC28E900009503,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,['0103-L']
170823225/2017,9098-DTW,28/12/2005,CITROEN C4 HDI,VF7LC9HYB74364661,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,FAVOR.,14/01/2018,['']
170823226/2017,8683-CCL,05/12/2002,FORD MONDEO,WF05XXGBB52R67022,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,"['0901-L', '0903-L']"
170823227/2017,8778-GKB,19/12/2008,BMW X3,WBAPE11060WJ67042,1033,002,2,14/01/2017,1,MCG,999,,,,,,,FAVOR.,14/01/2019,['']
170823228/2017,4420-FYG,13/12/2007,CITROEN BERLINGO,VF7GB9HWC94344700,2400,002,2,14/01/2017,2,ASC,999,,,,,,,FAVOR.,14/01/2018,['']
170823229/2017,TO-2222-AF,28/12/1999,HYUNDAI ACCENT 5P 1.3 LS,KMHVA21LPXU406972,1000,002,2,14/01/2017,2,MBM,999,,,,,,,FAVOR.,14/01/2018,['']
170823230/2017,E-3178-BCH,17/06/2003,YAMAHA YFM 660R,JY4AM01Y33C045027,6600,001,1,14/01/2017,1,MCG,14,VPS,18,,,,,DF.LEV,14/01/2019,['0103-L']
170823231/2017,M-9817-WY,03/02/1999,SEAT TOLEDO 1.9 TDI 5V,VSSZZZ1MZXB002568,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,FAVOR.,14/01/2018,['']
170823232/2017,6174-BVV,30/04/2002,RENAULT TRAFIC,VF1JLACA62V131953,3100,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/07/2017,['0103-L']
170823233/2017,4226-CWX,09/06/2004,SMART FOR1.3,WME4540311B011820,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DESFA.,00/00/0000,['0208-G']
170823234/2017,3841-BRT,28/12/2001,PEUGEOT 307 5P,VF33CRHYB82219938,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,['0202-L']
170823235/2017,3757-BLF,05/07/2001,CITROEN XSARA 20HDI110EX,VF7N1RHZB73221759,1000,002,2,14/01/2017,1,MCG,999,REB,999,,,,,DF.LEV,14/01/2018,"['0103-L', '0901-L']"
170823236/2017,7655-HBC,28/12/2010,FORD FOCUS,WF0PXXWPDPAU43001,1000,001,1,14/01/2017,1,MCG,14,REB,12,ASC,17,REB,22,DF.LEV,14/01/2019,['0202-L']
170823237/2017,TO-4914-K,06/10/1987,RENAULT 11 TSE,VS5B37300J0000581,1000,001,1,14/01/2017,1,MCG,14,REB,12,ASC,17,REB,22,DESFA.,00/00/0000,"['0701-G', '0803-G', '0803-G', '0901-L']"
170823238/2017,4181-DVH,11/01/2006,SEAT TOLEDO,VSSZZZ5PZ5R082241,1000,002,2,14/01/2017,1,MCG,999,,,,,,,FAVOR.,14/01/2018,['']
170823239/2017,TO-4911-J,29/10/1986,RENAULT EXPRESS,VS5F40205H0103037,3100,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DESFA.,00/00/0000,"['0103-L', '0401-L', '0501-G', '0502-G', '0601-L', '0703-L', '0901-L', '0903-G']"
170823240/2017,6953-DZD,08/05/2006,CHRYSLER GRAND VOYAGER,1A8GYB4536Y148025,3100,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/07/2017,"['0406-L', '0901-L']"
170823241/2017,4612-FKB,29/12/2006,PEUGEOT 407 2.0 HDI,VF36DRHRH21539181,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,FAVOR.,14/01/2018,['']
170823242/2017,TO-3059-AG,06/07/2000,CITROEN C15,VF7VDPG0015PG3683,3100,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/07/2017,['0901-L']
170823243/2017,4549-GKP,27/01/2009,HYUNDAI I30,KMHDC51TP8U115150,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2019,['0103-L']
170823244/2017,1563-DCN,11/11/2004,FORD FIESTA,WF0HXXWPJH4R38450,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,FAVOR.,14/01/2018,['']
170823245/2017,7881-DWB,08/02/2006,CITROEN C4 1.6I,VF7LCNFUC74347073,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,FAVOR.,14/01/2018,['']
170823246/2017,C-9887-BFB,13/03/2000,CHATENET STELLA,VMSCJF21499005197,0300,002,2,14/01/2017,1,REB,999,,,,,,,FAVOR.,14/01/2019,['']
170823247/2017,TO-0098-AF,19/11/1999,MERCEDES-BENZ C180,WDB2020181A795110,1000,002,2,14/01/2017,2,ASC,999,,,,,,,FAVOR.,14/01/2018,['']
170823248/2017,2844-GHY,10/10/2008,RENAULT MASTER,VF1FDC3M640535326,2420,001,1,14/01/2017,2,MCG,14,VPS,16,ASC,17,VPS,21,DESFA.,00/00/0000,"['0202-L', '0202-G', '0212-G', '0801-G', '0901-L']"
170823249/2017,0025-BWJ,22/05/2002,BMW COOPER MANUAL,WMWRC310X0TB56804,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,['0901-L']
170823250/2017,8317-GJP,21/11/2008,BMW 520D,WBANX31010C173507,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,999,FAVOR.,14/01/2019,['']
170823251/2017,2365-BRB,03/12/2001,NISSAN ALMERA,SJNFBAN16U0227812,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DESFA.,00/00/0000,"['0502-G', '0903-L']"
170823252/2017,3607-BBW,20/10/2000,CITROEN XANTIA 2.0 HDI 1,VF7X1RHZF72373941,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,"['0406-L', '0901-L']"
170823253/2017,4557-DVL,18/01/2006,SEAT LEON,VSSZZZ1PZ6R050164,1000,001,1,14/01/2017,1,MCG,14,MBM,12,ASC,17,REB,22,DF.LEV,14/01/2018,['0205-L']
170823254/2017,8885-BSN,08/02/2002,PEUGEOT 406 ST HDI 110,VF38BRHZF81429707,1000,001,1,14/01/2017,1,MCG,14,MBM,12,ASC,17,REB,22,FAVOR.,14/01/2018,['']
170823255/2017,2250-CMT,10/10/2003,FORD FOCUS,WF0AXXWPDA3J15852,1000,001,1,14/01/2017,1,MCG,14,MBM,12,ASC,17,REB,22,FAVOR.,14/01/2018,['']
170823256/2017,Z-1631-AN,11/03/1983,VOLKSWAGEN 1302,WVWZZZ11ZDM005723,1000,002,2,14/01/2017,2,MCG,999,,,,,,,DF.LEV,14/01/2018,['0901-L']
170823257/2017,4399-CGX,21/04/2003,PEUGEOT 307,VF33CRHYB82615968,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,FAVOR.,14/01/2018,['']
170823258/2017,0228-CDN,23/01/2003,HYUNDAI SANTA FE,KMHSC81VP3U408292,1033,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DESFA.,00/00/0000,['0503-G']
170823259/2017,M-3400-KP,28/12/1989,AUSTIN MONTEGO,SAXXESLW8BM538463,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,['0901-L']
170823260/2017,8184-DFD,30/12/2004,PEUGEOT 206,VF32ARHYF44042454,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,FAVOR.,14/01/2018,['']
170823261/2017,2022-FFR,13/09/2006,AUDI A4 2.0 TDI 6V Q,WAUZZZ8E17A062669,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,FAVOR.,14/01/2018,['']
170823262/2017,4988-CYM,22/07/2004,RENAULT CLIO,VF1BBR8EF31740990,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,NO AP.,00/00/0000,"['0103-L', '0601-L', '0803-C']"
170823263/2017,8398-BSC,17/01/2002,PEUGEOT 206,VF32A8HXF42112854,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,"['0103-L', '0601-L']"
170823264/2017,2094-CPJ,04/12/2003,PEUGEOT 307 5P,VF33CRHYB83310285,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,['0103-L']
170823265/2017,2933-FZH,21/01/2008,CITROEN BERLINGO,VF7GJ9HXC93470693,3100,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,FAVOR.,14/01/2018,['']
170823266/2017,1770-DCR,16/11/2004,AUDI A3,WAUZZZ8P75B003344,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,['0401-L']
170823267/2017,1235-CRH,13/01/2004,RENAULT CLIO,VF1BBR7CF30003173,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,FAVOR.,14/01/2018,['']
170823268/2017,TO-2193-AC,18/12/1998,AUDI A4 1.8 5V,WAUZZZ8DZXA040134,1000,002,2,14/01/2017,1,MCG,999,VPS,999,,,,,DF.LEV,14/01/2018,['0901-L']
170823269/2017,0443-BYZ,21/08/2002,PEUGEOT 206 SW,VF32KNFUF42518968,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,['0901-L']
170823270/2017,9097-CDP,28/01/2003,MERCEDES C 220,WDB2037061A484590,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,['0804-L']
170823271/2017,896949,07/04/2011,BMW 535D,WBAFW71010C896949,1000,014,1,14/01/2017,1,MBM,14,MBM,12,MBM,17,MBM,22,DESFA.,00/00/0000,"['0803-G', '1008-G']"
170823272/2017,9861-FCY,18/07/2006,AUDI A6,WAUZZZ4F27N017473,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,FAVOR.,14/01/2018,['']
170823273/2017,6530-BRW,09/01/2002,OPEL VECTRA-B,W0L0JBF1911215457,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,['0901-L']
170823274/2017,M-2274-MV,29/11/1991,FORD SIERRA,WF0AXXGBBAMM77346,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DF.LEV,14/01/2018,"['0103-L', '0202-L', '0202-L', '0407-L', '0901-L', '0904-L']"
170823275/2017,1776-BDV,10/01/2001,SEAT LEON,VSSZZZ1MZ1R039454,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,FAVOR.,14/01/2018,['']
170823276/2017,M-6788-YL,03/12/1999,SEAT TOLEDO,VSSZZZ1MZYB055640,1000,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DESFA.,00/00/0000,"['0103-L', '0103-G', '0208-G', '0405-G', '0407-G', '0503-G', '0901-L']"
170823277/2017,M-5199-TU,17/07/1996,SEAT INCA,VSSZZZ9KZTR020814,3100,001,1,14/01/2017,1,MCG,14,VPS,12,ASC,17,REB,22,DESFA.,00/00/0000,"['0503-G', '0601-L', '0901-L']"
170823278/2017,9341-GFP,23/06/2008,SYM JOYMAX,RFGLM12WX7S004090,0400,001,1,14/01/2017,1,MCG,14,VPS,18,MCG,13,,,DF.LEV,14/01/2019,['0202-L']
170823279/2017,M-7025-YW,03/03/2000,MERCEDES BENZ E320CDI,WDB2100261B101519,1000,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,DF.LEV,14/01/2018,['0901-L']
170823280/2017,6099-DTY,29/12/2005,FORD FOCUS,WF03XXGCD35R27636,1000,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,FAVOR.,14/01/2018,['']
170823281/2017,TO-5969-AF,03/03/2000,CITROEN JUMP,VF7232C8215871447,3100,002,2,14/01/2017,1,MCG,999,REB,999,,,,,DF.LEV,14/07/2017,['0405-L']
170823282/2017,2803-CHM,14/05/2003,PEUGEOT 607 2.2,VF39D3FZE92093266,1000,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,DF.LEV,14/01/2018,"['0406-L', '0601-L']"
170823283/2017,TO-4914-K,06/10/1987,RENAULT 11 TSE,VS5B37300J0000581,1000,002,2,14/01/2017,1,MCG,999,ASC,999,,,,,DF.LEV,14/01/2018,['0901-L']
170823284/2017,TO-9675-AC,14/05/1999,DAEWOO LANOS,KLATF69CEXB419404,1000,002,2,14/01/2017,1,MCG,999,,,,,,,DESFA.,00/00/0000,"['0502-G', '0502-G']"
170823285/2017,1652-CCR,16/12/2002,RENAULT MEGANE SCENIC,VF1JA1U0527966245,1000,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,DF.LEV,14/01/2018,"['0901-L', '0904-L']"
170823286/2017,0545-CXG,18/06/2004,RENAULT CLIO,VF1BBR8EF31506545,1000,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,DESFA.,00/00/0000,"['0601-L', '0803-G']"
170823287/2017,8837-HNP,24/01/2013,DACIA SANDERO,UU1BSDBLK48078876,1000,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,FAVOR.,14/01/2019,['']
170823288/2017,3007-CRC,11/05/2000,BMW SERIE 3,WBAAL910X0FS06029,1000,001,1,14/01/2017,1,MCG,14,VPS,12,REB,17,ASC,22,DESFA.,00/00/0000,['0803-G']
